                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0167,                 3.8315,                 4.2863,                0.00194,                0.30435,                0.00158,                0.00041,                 3.0854,                 4.1105,                 4.1558,                0.00024,                0.00024,                0.00024
                      2,                 3.0533,                 3.7466,                 4.2591,                0.00194,                0.30435,                0.00147,                0.00038,                 3.0781,                 4.1109,                 4.1519,              0.0004505,              0.0004505,              0.0004505
                      3,                 3.0007,                 3.6966,                 4.1675,                0.00194,                0.30435,                 0.0014,                0.00039,                 3.0733,                 4.1044,                 4.1495,             0.00060952,             0.00060952,             0.00060952
                      4,                 3.0145,                 3.6833,                 4.1233,                0.00167,                0.26087,                0.00119,                0.00036,                 3.0672,                 4.0811,                 4.1459,             0.00071706,             0.00071706,             0.00071706
                      5,                 2.9888,                 3.5568,                 4.0603,                0.00194,                0.30435,                0.00156,                0.00043,                 3.0624,                 4.0442,                 4.1511,             0.00077312,             0.00077312,             0.00077312
                      6,                 2.9266,                 3.5049,                 3.9824,                0.00222,                0.34783,                0.00194,                 0.0005,                 3.0574,                 4.0233,                 4.1524,              0.0007777,              0.0007777,              0.0007777
                      7,                 2.9427,                 3.5019,                 3.9387,                0.00222,                0.34783,                0.00201,                0.00049,                 3.0574,                 3.9833,                 4.1662,              0.0007308,              0.0007308,              0.0007308
                      8,                 2.9197,                 3.4167,                 3.8832,                0.00167,                0.26087,                0.00118,                0.00034,                 3.1122,                 4.0466,                 4.2439,               0.000614,               0.000614,               0.000614
                      9,                  2.896,                 3.3692,                 3.8426,                0.00057,                0.04348,                0.00037,                0.00022,                 3.1903,                 4.1836,                 4.3532,               0.000614,               0.000614,               0.000614
                     10,                 2.9413,                 3.3923,                 3.8283,                0.00111,                0.17391,                0.00077,                0.00029,                 3.1828,                 4.1674,                 4.3489,               0.000416,               0.000416,               0.000416
