                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0238,                 3.8249,                 4.2944,                0.00194,                0.30435,                0.00134,                0.00037,                 3.0881,                  4.109,                 4.1573,                0.00012,                0.00012,                0.00012
                      2,                 3.0531,                  3.793,                 4.2827,                0.00194,                0.30435,                0.00168,                0.00044,                 3.0858,                 4.1121,                 4.1551,             0.00023426,             0.00023426,             0.00023426
                      3,                 3.0102,                  3.739,                 4.1989,                0.00194,                0.30435,                 0.0017,                0.00039,                 3.0847,                 4.1116,                 4.1527,              0.0003208,              0.0003208,              0.0003208
                      4,                 3.0393,                 3.6751,                 4.1686,                0.00194,                0.30435,                0.00142,                0.00034,                 3.0829,                 4.1096,                 4.1506,             0.00037962,             0.00037962,             0.00037962
                      5,                 2.9962,                 3.6103,                 4.1302,                0.00194,                0.30435,                0.00147,                 0.0004,                 3.0839,                  4.104,                 4.1488,             0.00041072,             0.00041072,             0.00041072
                      6,                 2.9774,                 3.5523,                 4.1005,                0.00194,                0.30435,                0.00149,                0.00038,                 3.0867,                 4.1011,                 4.1492,              0.0004141,              0.0004141,              0.0004141
                      7,                 3.0137,                  3.519,                 4.0535,                0.00194,                0.30435,                0.00151,                0.00041,                 3.0949,                  4.084,                 4.1534,             0.00038976,             0.00038976,             0.00038976
                      8,                 2.9544,                  3.481,                  3.985,                0.00194,                0.30435,                0.00149,                0.00039,                 3.0982,                 4.0752,                  4.158,              0.0003377,              0.0003377,              0.0003377
                      9,                 2.9561,                 3.3673,                 3.9524,                0.00194,                0.30435,                0.00153,                 0.0004,                 3.1067,                 4.0755,                 4.1689,             0.00025792,             0.00025792,             0.00025792
                     10,                 2.9672,                 3.4039,                 3.9305,                0.00194,                0.30435,                0.00156,                 0.0004,                 3.1081,                 4.0725,                  4.172,             0.00015042,             0.00015042,             0.00015042
